08016,21,4,C,1997:02:03:11:11:00,1997:02:04:11:19:00,JSOC_20181030_231
08026,24,7,C,1997:03:31:07:52:00,1997:04:01:08:04:00,JSOC_20181030_231
08026,25,6,C,1997:04:01:08:04:00,1997:04:02:00:43:00,JSOC_20181030_231
08026,25,6,C,1997:04:02:00:43:00,1997:04:02:05:37:00,JSOC_20181030_231
08027,28,11,C,1997:04:06:13:50:00,1997:04:07:14:19:00,JSOC_20181030_231
08032,23,7,C,1997:04:14:14:00:00,1997:04:15:14:26:00,JSOC_20181030_231
08038,21,19,C,1997:05:11:04:42:00,1997:05:12:05:26:00,JSOC_20181030_231
08040,5,14,C,1997:05:20:06:04:00,1997:05:21:06:38:00,JSOC_20181030_231
08040,5,14,M,1997:05:21:06:38:00,1997:05:21:20:27:00,JSOC_20181030_231
08071,26,20,C,1997:08:13:01:12:00,1997:08:14:01:41:00,JSOC_20181030_231
08076,29,11,C,1997:08:28:17:23:00,1997:08:29:17:38:00,JSOC_20181030_231
08076,28,2,C,1997:08:29:17:38:00,1997:08:30:11:32:00,JSOC_20181030_231
08076,28,14,C,1997:08:30:11:32:00,1997:08:31:11:33:00,JSOC_20181030_231
08076,28,14,C,1997:08:31:11:33:00,1997:08:31:19:20:00,JSOC_20181030_231
08076,28,14,C,1997:08:31:19:20:00,1997:08:31:22:26:00,JSOC_20181030_231
08076,28,41,M,1997:09:01:12:25:00,1997:09:02:12:34:00,JSOC_20181030_231
08076,28,41,C,1997:09:02:12:34:00,1997:09:02:16:43:00,JSOC_20181030_231
08076,28,41,C,1997:09:02:16:43:00,1997:09:02:21:19:00,JSOC_20181030_231
08076,28,41,C,1997:09:02:21:19:00,1997:09:02:00:03:00,JSOC_20181030_231
08085,25,40,C,1997:09:08:09:45:00,1997:09:09:10:03:00,JSOC_20181030_231
08085,25,40,C,1997:09:09:10:03:00,1997:09:09:18:52:00,JSOC_20181030_231
08085,26,25,C,1997:09:13:10:43:00,1997:09:14:11:28:00,JSOC_20181030_231
08083,28,9,M,1997:09:07:19:23:00,1997:09:08:19:48:00,JSOC_20181030_231
08084,22,26,C,1997:09:11:02:07:00,1997:09:12:02:13:00,JSOC_20181030_231
08084,22,26,C,1997:09:12:02:13:00,1997:09:12:19:04:00,JSOC_20181030_231
08084,22,26,C,1997:09:12:19:04:00,1997:09:12:20:11:00,JSOC_20181030_231
08086,27,37,C,1997:09:13:16:58:00,1997:09:14:17:06:00,JSOC_20181030_231
08086,28,25,C,1997:09:14:17:06:00,1997:09:15:14:07:00,JSOC_20181030_231
08086,28,25,C,1997:09:15:14:07:00,1997:09:15:18:44:00,JSOC_20181030_231
